project	file	line	pattern	type	member	chars_saved	before	after
scala3-compiler	dotty/tools/dotc/reporting/Message.scala	63	P1	SimpleIdentitySet	empty	18	def mentions: SimpleIdentitySet[Capability] = SimpleIdentitySet.empty	def mentions: SimpleIdentitySet[Capability] = .empty
scala3-compiler	dotty/tools/dotc/reporting/Message.scala	419	P1	Disambiguation	All	15	private var disambiguate: Disambiguation = Disambiguation.All	private var disambiguate: Disambiguation = .All
scala3-compiler	dotty/tools/dotc/reporting/Message.scala	489	P1	List	empty	5	def actions(using Context): List[CodeAction] = List.empty	def actions(using Context): List[CodeAction] = .empty
scala3-compiler	dotty/tools/dotc/reporting/Message.scala	502	P1	MessageKind	NoKind	12	val kind: MessageKind = MessageKind.NoKind	val kind: MessageKind = .NoKind
scala3-compiler	dotty/tools/dotc/reporting/Message.scala	524	P1	MessageKind	Type	12	def kind: MessageKind = MessageKind.Type	def kind: MessageKind = .Type
scala3-compiler	dotty/tools/dotc/reporting/Message.scala	499	P2	List	empty	5	final class NoExplanation(msgFn: Context ?=> String, actions: List[CodeAction] = List.empty)(using Context) extends Message(ErrorMessageID.NoExplanationID) {	final class NoExplanation(msgFn: Context ?=> String, actions: List[CodeAction] = .empty)(using Context) extends Message(ErrorMessageID.NoExplanationID) {
scala3-compiler	dotty/tools/dotc/util/SimpleIdentitySet.scala	16	P1	SimpleIdentitySet	empty	18	var acc: SimpleIdentitySet[B] = SimpleIdentitySet.empty	var acc: SimpleIdentitySet[B] = .empty
scala3-compiler	dotty/tools/dotc/util/SimpleIdentitySet.scala	20	P1	SimpleIdentitySet	empty	18	var acc: SimpleIdentitySet[B] = SimpleIdentitySet.empty	var acc: SimpleIdentitySet[B] = .empty
scala3-compiler	dotty/tools/dotc/util/SimpleIdentitySet.scala	29	P1	Iterator	tabulate	9	final def iterator: Iterator[Elem] = Iterator.tabulate(size)(nth)	final def iterator: Iterator[Elem] = .tabulate(size)(nth)
scala3-compiler	dotty/tools/dotc/util/SimpleIdentitySet.scala	34	P1	SimpleIdentitySet	empty	18	val z: SimpleIdentitySet[Elem] = SimpleIdentitySet.empty	val z: SimpleIdentitySet[Elem] = .empty
scala3-compiler	dotty/tools/dotc/util/LRUCache.scala	79	P1	Iterator	iterate	9	def indices: Iterator[Int] = Iterator.iterate(first)(next.apply)	def indices: Iterator[Int] = .iterate(first)(next.apply)
scala3-compiler	dotty/tools/dotc/util/SourceFile.scala	118	P1	Optional	ofNullable	9	override def jfile: Optional[JFile] = Optional.ofNullable(file.file)	override def jfile: Optional[JFile] = .ofNullable(file.file)
scala3-compiler	dotty/tools/dotc/util/SourceFile.scala	253	P1	CanEqual	derived	9	implicit def eqSource: CanEqual[SourceFile, SourceFile] = CanEqual.derived	implicit def eqSource: CanEqual[SourceFile, SourceFile] = .derived
scala3-compiler	dotty/tools/dotc/config/Feature.scala	183	P1	SourceVersion	valueOf	14	def sourceVersionSetting(using Context): SourceVersion =	def sourceVersionSetting(using Context): SourceVersion =
scala3-compiler	dotty/tools/dotc/config/CliCommand.scala	152	P1	String	format	7	def padLeft(width: Int): String = String.format(s"%${width}s", s)	def padLeft(width: Int): String = .format(s"%${width}s", s)
scala3-compiler	dotty/tools/dotc/config/Settings.scala	19	P1	ClassTag	Boolean	9	val BooleanTag: ClassTag[Boolean]      = ClassTag.Boolean	val BooleanTag: ClassTag[Boolean]      = .Boolean
scala3-compiler	dotty/tools/dotc/config/Settings.scala	20	P1	ClassTag	Int	9	val IntTag: ClassTag[Int]              = ClassTag.Int	val IntTag: ClassTag[Int]              = .Int
